Board: 881755-0020_DV_T2_004533, Operator:         v510,  05-Jun-2025 03:34:15, BC: P5155527700881755010020 L0 R1.5.5.6A1 0 22 ProductName:R1.5.5.6A1
RefDes	DeviceType	dX	dY	X	Y	Threshold	Orientation	Height	ErrorCode	Remark

1:c601-1 b_ecap_tpk-306245-4r7ea  253  253  -10   19     0 -1019800000     0   0 BodyDisplay
1:c601-1 b_ecap_tpk-306245-4r7ea    0    0    0    0 25000   270 29719   0 BodyTopOffset
1:c601-1 b_ecap_tpk-306245-4r7ea    0    0    0    0 25000   270 29719   0 BodyBotOffset
1:c601-1 b_ecap_tpk-306245-4r7ea    0    0    0    0 22300   270 16414   0 BodyHorOffset
1:c601-1 b_ecap_tpk-306245-4r7ea    0    0    0    0 5000000   270 -1019800000   0 BodySkew
1:c601-1 b_ecap_tpk-306245-4r7ea  253  253   -4  -12     0 -1019800000     0   0 BodyTypeOffset
2:c1726-2 ctpk-718866-103k1c   63   32    0  -10     0 -2147483648     0   0 BodyDisplay
2:c1726-2 ctpk-718866-103k1c    0    0    0    0 15000   270 -14986   0 BodyTopOffset
2:c1726-2 ctpk-718866-103k1c    0    0    0    0 15000   270 -15752   0 BodyBotOffset
2:c1726-2 ctpk-718866-103k1c    0    0    0    0 15000   270  -179   0 BodyHorOffset
2:c1726-2 ctpk-718866-103k1c    0    0    0    0 5000000   270 -2147483648   0 BodySkew
2:c1726-2 ctpk-718866-103k1c   63   32    0    0     0 -2147483648     0   0 BodyTypeOffset
2:c515-2 ctpk-718875-474k1c   97   50    0   -9     0 -2147483648     0   0 BodyDisplay
2:c515-2 ctpk-718875-474k1c    0    0    0    0 15000    90 15257   0 BodyTopOffset
2:c515-2 ctpk-718875-474k1c    0    0    0    0 15000    90 13245   0 BodyBotOffset
2:c515-2 ctpk-718875-474k1c    0    0    0    0 15000    90   120   0 BodyHorOffset
2:c515-2 ctpk-718875-474k1c    0    0    0    0 7000000    90 -2147483648   0 BodySkew
2:c515-2 ctpk-718875-474k1c   97   50    0    0     0 -2147483648     0   0 BodyTypeOffset
2:c517-2 ctpk-718875-105k1c   97   50    0  -10     0 -2147483648     0   0 BodyDisplay
2:c517-2 ctpk-718875-105k1c    0    0    0    0 15000   270 -15842   0 BodyTopOffset
2:c517-2 ctpk-718875-105k1c    0    0    0    0 15000   270 -15016   0 BodyBotOffset
2:c517-2 ctpk-718875-105k1c    0    0    0    0 15000   270 -1095   0 BodyHorOffset
2:c517-2 ctpk-718875-105k1c    0    0    0    0 7000000   270 -2147483648   0 BodySkew
2:c517-2 ctpk-718875-105k1c   97   50    0    0     0 -2147483648     0   0 BodyTypeOffset
2:fb1701-2 c0402_tpk-716195-601   67   33   -1   -1     0 -2147483648     0   0 BodyDisplay
2:fb1701-2 c0402_tpk-716195-601    0    0    0    0 15000   270 -6156   0 BodyTopOffset
2:fb1701-2 c0402_tpk-716195-601    0    0    0    0 15000   270  1322   0 BodyBotOffset
2:fb1701-2 c0402_tpk-716195-601    0    0    0    0 15000   270  1532   0 BodyHorOffset
2:fb1701-2 c0402_tpk-716195-601    0    0    0    0 5000000   270 -2147483648   0 BodySkew
2:fb1701-2 c0402_tpk-716195-601   67   33    0    0     0 -2147483648     0   0 BodyTypeOffset
2:j1000-2 b-conn-326010-0020 1006  765    7  -15     0 -2147483648     0   0 BodyDisplay
2:j1000-2 b-conn-326010-0020    0    0    0    0 26500   106 27211   0 BodyTopOffset
2:j1000-2 b-conn-326010-0020    0    0    0    0 26500   106 19657   0 BodyBotOffset
2:j1000-2 b-conn-326010-0020    0    0    0    0 26500   106 11608   0 BodyHorOffset
2:j1000-2 b-conn-326010-0020    0    0    0    0 7000000   106 -2147483648   0 BodySkew
2:j1000-2 b-conn-326010-0020 1006  765    0   21     0 -2147483648     0   0 BodyTypeOffset
2:j1401-2 b_conn_tpk-764776-12t2   16    9   41  110     0    -1    77 4000000 Missing Lead @<A>3DMultiJoint@<J>Pin_4$@<D>3DLead@<P>Min_TH#-200um@<R>Result#-203um
2:j1401-2 b_conn_tpk-764776-12t2  538  204   -5   -1     0 -2147483648     0   0 BodyDisplay
2:j1401-2 b_conn_tpk-764776-12t2    0    0    0    0 20000    90 -3453   0 BodyTopOffset
2:j1401-2 b_conn_tpk-764776-12t2    0    0    0    0 20000    90  7779   0 BodyBotOffset
2:j1401-2 b_conn_tpk-764776-12t2    0    0    0    0 20000    90 -7643   0 BodyHorOffset
